pretzels wetzels:WETZEL'S PRETZELS(25),WETZELS PRETZELS(11),WETZELS PRETZEL'S(8)
q sushi:Q SUSHI(7),SUSHI Q(5),SUSHI Q.(5)
carls jr:CARL'S JR(46),CARL'S JR.(8)
212 carls jr:CARL'S JR #212(4),CARLS JR #212(1)
tacos trejos:TREJO'S TACOS(7),TREJOS TACOS(6)
boba mr:MR BOBA(10),MR. BOBA(3)
dollar giant:GIANT DOLLAR(3),DOLLAR GIANT(1)
dominos pizza:DOMINO'S PIZZA(81),DOMINOS PIZZA(3)
garcias market:GARCIA'S MARKET(3),GARCIAS MARKET(3)
jr noodle world:NOODLE WORLD, JR(8),NOODLE WORLD JR.(7)
juice robeks:ROBEKS JUICE(9),ROBEK'S JUICE(6)
caesars little:LITTLE CAESARS(35),LITTLE CAESAR'S(6)
johns papa pizza:PAPA JOHN'S PIZZA(68),PAPA JOHNS PIZZA(7)
leonardos restaurant:LEONARDO'S RESTAURANT(10),LEONARDOS RESTAURANT(6)
 j market p:J & P MARKET(3),P & J MARKET(1)
 deli highland market:HIGHLAND DELI / MARKET(11),HIGHLAND MARKET & DELI(4)
amigos los taqueria:LOS AMIGOS TAQUERIA(7),TAQUERIA LOS AMIGOS(5)
golds gym:GOLD'S GYM(6),GOLDS GYM(3)
7 eleven:7 ELEVEN(5),7- ELEVEN(5)
lucifers pizza:LUCIFER'S PIZZA(9),LUCIFERS PIZZA(6)
donuts dunkin:DUNKIN' DONUTS(21),DUNKIN DONUTS(6)
cafe m:M CAFE(6),CAFE M(5)
sixth st tavern:SIXTH ST TAVERN(4),SIXTH ST. TAVERN(2)
co crepe french the:THE FRENCH CREPE CO(6),THE FRENCH CREPE CO.(6)
bakery ponces:PONCES BAKERY(6),PONCE'S BAKERY(6)
lieders:LIEDER`S(8),LIEDER'S(2)
bbq chicken la:BBQ CHICKEN LA(7),BBQ CHICKEN L.A.(1)
cafe garden:GARDEN CAFE(13),CAFE GARDEN(3)
filling fords station:FORD'S FILLING STATION(10),FORDS FILLING STATION(6)
marias restaurant:MARIA'S RESTAURANT(7),MARIAS RESTAURANT(2)
97 carls jr:CARL'S JR #97(4),CARLS JR #97(1)
 big mamas papas pizzeria:BIG MAMA'S & PAPA'S PIZZERIA(7),BIG MAMAS & PAPAS PIZZERIA(4)
422 carls jr:CARL'S JR #422(4),CARLS JR #422(1)
bionicos daisys:BIONICOS DAISYS(2),BIONICOS DAISY'S(1)
liquor marks:MARK'S LIQUOR(3),MARKS LIQUOR(1)
lupitas market mini:LUPITA'S MINI MARKET(3),LUPITAS MINI MARKET(1)
breakfast cafe kings:KINGS BREAKFAST CAFE(3),KING'S BREAKFAST CAFE(2)
